SMILES,IC50(nM),ID
CCCCNC(=O)c1ccc(Oc2ccc(Cc3nnn[nH]3)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,350.0,CHEMBL1933764
CCCCNC(=O)c1ccc(Oc2ccc3c(CC(=O)O)c[nH]c3c2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,3.0,CHEMBL1950867
CCCCNC(=O)c1ccc(Oc2ccc3c(CC(=O)O)coc3c2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,5.0,CHEMBL1950870
CCCCNC(=O)c1ccc(Oc2ccc3c(c2)OCC3CC(=O)O)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,580.0,CHEMBL1950869
CCCCNC(=O)c1ccc(Oc2ccc3c(ccn3CC(=O)O)c2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2.0,CHEMBL1950868
CCCCNC(=O)c1ccc(S(=O)(=O)c2ccc(CC(=O)O)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,400.0,CHEMBL1950874
CCCCNC(=O)c1ccc(Sc2ccc(CC(=O)O)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,21.0,CHEMBL1950872
CCCCNC(=O)c1ccc([S+]([O-])c2ccc(CC(=O)O)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,660.0,CHEMBL1950873
CCCCOC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,6.3,CHEMBL3956387
CCCCOC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,11.8,CHEMBL3901290
CCCCOc1ccc(C(C)=O)cc1CSc1nc2cc(F)ccc2n1CC(=O)O,10.5,CHEMBL2048196
CCCCOc1ccccc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,10.0,CHEMBL1778631
CCCCS(=O)(=O)n1c(C)c(CC(=O)O)c2cc(F)ccc21,842.0,CHEMBL194918
CCCCSc1nc2ccccc2n1CC(=O)O,2370.0,CHEMBL2048152
CCCN(c1ncc(Cl)cn1)[C@H]1CCc2c(c3cc(F)ccc3n2CC(=O)O)C1,3.9,CHEMBL3680662
CCCN(c1ncc(F)cn1)C1CCc2c(CC(=O)O)c3ccc(Cl)cc3n2C1,1.0,CHEMBL3674034
CCCNC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OC)c2C1,764.0,CHEMBL3986926
CCCNC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,126.0,CHEMBL3914994
CCCNC(=O)N1CCc2c(F)ccc(-c3ccc(CC(=O)O)cc3OCC)c2C1,78.2,CHEMBL3979771
CCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2.0,CHEMBL570235
CCCOc1cc(S(=O)(=O)n2c(C)c(CC(=O)O)c3cccnc32)ccc1C#N,60.0,CHEMBL3944866
CCCOc1ccc(C(C)=O)cc1CSc1nc2cc(F)ccc2n1CC(=O)O,7.0,CHEMBL2048195
CCCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,0.28,CHEMBL3948483
CCCS(=O)(=O)c1ccc(C)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,32.0,CHEMBL1917584
CCCS(=O)(=O)c1ccc(Cl)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,23.0,CHEMBL1917594
CCCS(=O)(=O)c1ccc(F)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,23.0,CHEMBL1917592
CCCS(=O)(=O)c1cccc(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,750.0,CHEMBL1917575
CCC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,7.15,CHEMBL1689124
CCCc1cc(-c2ccc(Oc3ccc(CC(=O)O)cc3OC)c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c2)n[nH]1,5.0,CHEMBL1950879
CCCc1cc2c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c(Oc3ccc(CC(=O)O)cc3OC)ccc2[nH]1,83.5,CHEMBL3287085
CCCc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,3.6,CHEMBL3963787
CCCc1ccc(S(C)(=O)=O)cc1C#Cc1cc(Cl)ccc1OCC(=O)O,1200.0,CHEMBL1917581
CCCc1nc(-c2ccc(Oc3ccc(CC(=O)O)cc3OC)c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c2)c[nH]1,11.0,CHEMBL1950878
CCCc1nc(-c2ccc(Oc3ccc(CC(=O)O)cc3OC)c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c2)n[nH]1,4.0,CHEMBL1950877
